,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Month.Abbr,Day.Name.Abbr,City,State,Total.Passengers,Fatality_Rate
0,0.0,Accident,1995-01-02,"FOLEY, AL",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-151,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1995.0,Jan,Mon,FOLEY, AL,1.0,0.0
1,1.0,Accident,1995-01-04,"MIAMISBURG, OH",United States,Fatal,Destroyed,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,1995.0,Jan,Wed,MIAMISBURG, OH,1.0,100.0
2,2.0,Accident,1995-01-08,"WASILLA, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1995.0,Jan,Sun,WASILLA, AK,1.0,0.0
3,3.0,Accident,1995-01-12,"SPRING CITY, TN",United States,Fatal,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1995.0,Jan,Thu,SPRING CITY, TN,1.0,100.0
4,4.0,Accident,1995-01-14,"MARSHALL, AR",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Maneuvering,Probable Cause,1995.0,Jan,Sat,MARSHALL, AR,1.0,0.0
5,5.0,Accident,1995-01-15,"ORANGE BEACH, AL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-151,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1995.0,Jan,Sun,ORANGE BEACH, AL,2.0,0.0
6,6.0,Accident,1995-01-24,"BURWELL, NE",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1995.0,Jan,Tue,BURWELL, NE,2.0,0.0
7,7.0,Accident,1995-01-28,"BIG BEAR CITY, CA",United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1995.0,Jan,Sat,BIG BEAR CITY, CA,2.0,100.0
8,8.0,Accident,1995-02-01,"BUCKEYE, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1995.0,Feb,Wed,BUCKEYE, AZ,1.0,0.0
9,9.0,Accident,1995-02-04,"ST. LOUIS, MO",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,Cruise,Probable Cause,1995.0,Feb,Sat,ST. LOUIS, MO,3.0,0.0
